"Date" "United.States" "Georgia" "Atlanta" "HHSRegion4"
"2013-07-01" NA NA NA NA
"2013-07-02" NA NA NA NA
"2013-07-03" NA NA NA NA
"2013-07-04" NA NA NA NA
"2013-07-05" NA NA NA NA
"2013-07-06" NA NA NA NA
"2013-07-07" 941 733 818 634
"2013-07-08" NA NA NA NA
"2013-07-09" NA NA NA NA
"2013-07-10" NA NA NA NA
"2013-07-11" NA NA NA NA
"2013-07-12" NA NA NA NA
"2013-07-13" NA NA NA NA
"2013-07-14" 907 714 793 616
"2013-07-15" NA NA NA NA
"2013-07-16" NA NA NA NA
"2013-07-17" NA NA NA NA
"2013-07-18" NA NA NA NA
"2013-07-19" NA NA NA NA
"2013-07-20" NA NA NA NA
"2013-07-21" 956 805 923 658
"2013-07-22" NA NA NA NA
"2013-07-23" NA NA NA NA
"2013-07-24" NA NA NA NA
"2013-07-25" NA NA NA NA
"2013-07-26" NA NA NA NA
"2013-07-27" NA NA NA NA
"2013-07-28" 850 554 567 656
"2013-07-29" NA NA NA NA
"2013-07-30" NA NA NA NA
"2013-07-31" NA NA NA NA
"2013-08-01" NA NA NA NA
"2013-08-02" NA NA NA NA
"2013-08-03" NA NA NA NA
"2013-08-04" 869 547 614 676
"2013-08-05" NA NA NA NA
"2013-08-06" NA NA NA NA
"2013-08-07" NA NA NA NA
"2013-08-08" NA NA NA NA
"2013-08-09" NA NA NA NA
"2013-08-10" NA NA NA NA
"2013-08-11" 907 544 641 720
"2013-08-12" NA NA NA NA
"2013-08-13" NA NA NA NA
"2013-08-14" NA NA NA NA
"2013-08-15" NA NA NA NA
"2013-08-16" NA NA NA NA
"2013-08-17" NA NA NA NA
"2013-08-18" 952 858 940 788
"2013-08-19" NA NA NA NA
"2013-08-20" NA NA NA NA
"2013-08-21" NA NA NA NA
"2013-08-22" NA NA NA NA
"2013-08-23" NA NA NA NA
"2013-08-24" NA NA NA NA
"2013-08-25" 977 920 987 849
"2013-08-26" NA NA NA NA
"2013-08-27" NA NA NA NA
"2013-08-28" NA NA NA NA
"2013-08-29" NA NA NA NA
"2013-08-30" NA NA NA NA
"2013-08-31" NA NA NA NA
"2013-09-01" 1085 888 1158 969
"2013-09-02" NA NA NA NA
"2013-09-03" NA NA NA NA
"2013-09-04" NA NA NA NA
"2013-09-05" NA NA NA NA
"2013-09-06" NA NA NA NA
"2013-09-07" NA NA NA NA
"2013-09-08" 1154 1046 1318 1031
"2013-09-09" NA NA NA NA
"2013-09-10" NA NA NA NA
"2013-09-11" NA NA NA NA
"2013-09-12" NA NA NA NA
"2013-09-13" NA NA NA NA
"2013-09-14" NA NA NA NA
"2013-09-15" 1259 931 1189 982
"2013-09-16" NA NA NA NA
"2013-09-17" NA NA NA NA
"2013-09-18" NA NA NA NA
"2013-09-19" NA NA NA NA
"2013-09-20" NA NA NA NA
"2013-09-21" NA NA NA NA
"2013-09-22" 1350 1101 1209 1104
"2013-09-23" NA NA NA NA
"2013-09-24" NA NA NA NA
"2013-09-25" NA NA NA NA
"2013-09-26" NA NA NA NA
"2013-09-27" NA NA NA NA
"2013-09-28" NA NA NA NA
"2013-09-29" 1363 920 1016 1124
"2013-09-30" NA NA NA NA
"2013-10-01" NA NA NA NA
"2013-10-02" NA NA NA NA
"2013-10-03" NA NA NA NA
"2013-10-04" NA NA NA NA
"2013-10-05" NA NA NA NA
"2013-10-06" 1405 1129 1203 1261
"2013-10-07" NA NA NA NA
"2013-10-08" NA NA NA NA
"2013-10-09" NA NA NA NA
"2013-10-10" NA NA NA NA
"2013-10-11" NA NA NA NA
"2013-10-12" NA NA NA NA
"2013-10-13" 1354 1185 1224 1252
"2013-10-14" NA NA NA NA
"2013-10-15" NA NA NA NA
"2013-10-16" NA NA NA NA
"2013-10-17" NA NA NA NA
"2013-10-18" NA NA NA NA
"2013-10-19" NA NA NA NA
"2013-10-20" 1445 1313 1444 1311
"2013-10-21" NA NA NA NA
"2013-10-22" NA NA NA NA
"2013-10-23" NA NA NA NA
"2013-10-24" NA NA NA NA
"2013-10-25" NA NA NA NA
"2013-10-26" NA NA NA NA
"2013-10-27" 1460 1249 1133 1396
"2013-10-28" NA NA NA NA
"2013-10-29" NA NA NA NA
"2013-10-30" NA NA NA NA
"2013-10-31" NA NA NA NA
"2013-11-01" NA NA NA NA
"2013-11-02" NA NA NA NA
"2013-11-03" 1560 1387 1318 1499
"2013-11-04" NA NA NA NA
"2013-11-05" NA NA NA NA
"2013-11-06" NA NA NA NA
"2013-11-07" NA NA NA NA
"2013-11-08" NA NA NA NA
"2013-11-09" NA NA NA NA
"2013-11-10" 1628 1828 1816 1616
"2013-11-11" NA NA NA NA
"2013-11-12" NA NA NA NA
"2013-11-13" NA NA NA NA
"2013-11-14" NA NA NA NA
"2013-11-15" NA NA NA NA
"2013-11-16" NA NA NA NA
"2013-11-17" 1661 1895 2131 1759
"2013-11-18" NA NA NA NA
"2013-11-19" NA NA NA NA
"2013-11-20" NA NA NA NA
"2013-11-21" NA NA NA NA
"2013-11-22" NA NA NA NA
"2013-11-23" NA NA NA NA
"2013-11-24" 1708 2394 2377 1893
"2013-11-25" NA NA NA NA
"2013-11-26" NA NA NA NA
"2013-11-27" NA NA NA NA
"2013-11-28" NA NA NA NA
"2013-11-29" NA NA NA NA
"2013-11-30" NA NA NA NA
"2013-12-01" 2043 3002 3193 2337
"2013-12-02" NA NA NA NA
"2013-12-03" NA NA NA NA
"2013-12-04" NA NA NA NA
"2013-12-05" NA NA NA NA
"2013-12-06" NA NA NA NA
"2013-12-07" NA NA NA NA
"2013-12-08" 2238 2936 3076 2457
"2013-12-09" NA NA NA NA
"2013-12-10" NA NA NA NA
"2013-12-11" NA NA NA NA
"2013-12-12" NA NA NA NA
"2013-12-13" NA NA NA NA
"2013-12-14" NA NA NA NA
"2013-12-15" 3196 4826 5255 4006
"2013-12-16" NA NA NA NA
"2013-12-17" NA NA NA NA
"2013-12-18" NA NA NA NA
"2013-12-19" NA NA NA NA
"2013-12-20" NA NA NA NA
"2013-12-21" NA NA NA NA
"2013-12-22" 4625 6227 5862 5178
"2013-12-23" NA NA NA NA
"2013-12-24" NA NA NA NA
"2013-12-25" NA NA NA NA
"2013-12-26" NA NA NA NA
"2013-12-27" NA NA NA NA
"2013-12-28" NA NA NA NA
"2013-12-29" 5008 4835 4765 4901
"2013-12-30" NA NA NA NA
"2013-12-31" NA NA NA NA
